model,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp
lr,0.7144652112454846,0.6361205291055824,0.7229066044391382,0.6767425320056899,0.7917843261176399,18522,7620,5106,13321
rf,0.7437680899279768,0.6591704147926037,0.7873772182124057,0.7175923636183787,0.8519246963570855,18640,7502,3918,14509
gb,0.7318988534631695,0.6685399105005724,0.6972377489553373,0.6825873289945544,0.8088719036349339,19772,6370,5579,12848
knn,1.0,1.0,1.0,1.0,1.0,26142,0,0,18427
xgb,0.7277255491485113,0.6462711549190999,0.7543278884245943,0.696131213221485,0.8054427037173737,18534,7608,4527,13900
mlp,0.7607305526262649,0.7214835948644793,0.6861670374993216,0.703382287494437,0.8386792486005431,21261,4881,5783,12644
