model,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp
lr,0.714510085485427,0.6362854275199541,0.7224724588918435,0.6766454891994917,0.7916015742085659,18532,7610,5114,13313
rf,0.7388094864143239,0.6552718286655683,0.7770662614641558,0.7109908388986816,0.8380826659074184,18609,7533,4108,14319
gb,0.7292737104265297,0.6597839738759106,0.7127041840777121,0.6852238338724825,0.8057199703426876,19370,6772,5294,13133
knn,0.7662725212591712,0.7379961968148324,0.6739566939816574,0.7045241809672387,0.8454372059852682,21733,4409,6008,12419
xgb,0.7266710045098611,0.6407609430645088,0.7713681011559125,0.7000246244767299,0.8081193305052841,18173,7969,4213,14214
mlp,0.7392582288137495,0.6932644252612449,0.662451836978347,0.6775079783543777,0.8183171610504899,20741,5401,6220,12207
